DC,ID,CONDITION,FREQUENCY,GENDERS,AROUSAL,VALENCE
0.00394813961155619,1,1,1.525,3,1.44444444444444,3.94444444444444
0.00387333747388717,1,1,1.55,3,1.44444444444444,3.94444444444444
0.00380218309664187,1,1,1.575,3,1.44444444444444,3.94444444444444
0.00373449851898341,1,1,1.6,3,1.44444444444444,3.94444444444444
0.00367011742996586,1,1,1.625,3,1.44444444444444,3.94444444444444
0.00360888437204543,1,1,1.65,3,1.44444444444444,3.94444444444444
0.00355065400491862,1,1,1.675,3,1.44444444444444,3.94444444444444
0.00349529042532519,1,1,1.7,3,1.44444444444444,3.94444444444444
0.00344266653870899,1,1,1.725,3,1.44444444444444,3.94444444444444
0.00339266347889005,1,1,1.75,3,1.44444444444444,3.94444444444444
0.00334517007215836,1,1,1.775,3,1.44444444444444,3.94444444444444
0.00330008234245184,1,1,1.8,3,1.44444444444444,3.94444444444444
0.00325730305452319,1,1,1.825,3,1.44444444444444,3.94444444444444
0.00321674129223223,1,1,1.85,3,1.44444444444444,3.94444444444444
0.00317831206931955,1,1,1.875,3,1.44444444444444,3.94444444444444
0.00314193597022415,1,1,1.9,3,1.44444444444444,3.94444444444444
0.003107538818702,1,1,1.925,3,1.44444444444444,3.94444444444444
0.00307505137218323,1,1,1.95,3,1.44444444444444,3.94444444444444
0.00304440903997489,1,1,1.975,3,1.44444444444444,3.94444444444444
0.00301555162357302,1,1,2,3,1.44444444444444,3.94444444444444
0.00298842307749351,1,1,2.025,3,1.44444444444444,3.94444444444444
0.00296297128916615,1,1,2.05,3,1.44444444444444,3.94444444444444
0.00293914787656138,1,1,2.075,3,1.44444444444444,3.94444444444444
0.00291690800233492,1,1,2.1,3,1.44444444444444,3.94444444444444
0.00289621020338276,1,1,2.125,3,1.44444444444444,3.94444444444444
0.00287701623479775,1,1,2.15,3,1.44444444444444,3.94444444444444
0.0028592909273116,1,1,2.175,3,1.44444444444444,3.94444444444444
0.00284300205739051,1,1,2.2,3,1.44444444444444,3.94444444444444
0.00282812022923244,1,1,2.225,3,1.44444444444444,3.94444444444444
0.00281461876798736,1,1,2.25,3,1.44444444444444,3.94444444444444
0.00280247362359021,1,1,2.275,3,1.44444444444444,3.94444444444444
0.0027916632846608,1,1,2.3,3,1.44444444444444,3.94444444444444
0.00278216870198469,1,1,2.325,3,1.44444444444444,3.94444444444444
0.00277397322114549,1,1,2.35,3,1.44444444444444,3.94444444444444
0.00276706252393255,1,1,2.375,3,1.44444444444444,3.94444444444444
0.00276142457819838,1,1,2.4,3,1.44444444444444,3.94444444444444
0.00275704959588813,1,1,2.425,3,1.44444444444444,3.94444444444444
0.00275392999900992,1,1,2.45,3,1.44444444444444,3.94444444444444
0.00275206039335869,1,1,2.475,3,1.44444444444444,3.94444444444444
0.99059157752751,1,1,0,3,1,2.88888888888889
0.0641137849874247,1,1,0.025,3,1,2.88888888888889
0.0160231368523102,1,1,0.05,3,1,2.88888888888889
0.00661319182293596,1,1,0.075,3,1,2.88888888888889
0.00332895634257615,1,1,0.1,3,1,2.88888888888889
0.00185080393492678,1,1,0.125,3,1,2.88888888888889
0.00108897110919243,1,1,0.15,3,1,2.88888888888889
0.000664088803921006,1,1,0.175,3,1,2.88888888888889
0.000415268132903522,1,1,0.2,3,1,2.88888888888889
0.000264772570135879,1,1,0.225,3,1,2.88888888888889
0.000171616559692682,1,1,0.25,3,1,2.88888888888889
0.000112898765578006,1,1,0.275,3,1,2.88888888888889
7.5315072410086e-05,1,1,0.3,3,1,2.88888888888889
5.09250288300385e-05,1,1,0.325,3,1,2.88888888888889
3.4893411473412e-05,1,1,0.35,3,1,2.88888888888889
2.42279124511618e-05,1,1,0.375,3,1,2.88888888888889
1.70505770061358e-05,1,1,0.4,3,1,2.88888888888889
1.21675988126597e-05,1,1,0.425,3,1,2.88888888888889
8.81084451638689e-06,1,1,0.45,3,1,2.88888888888889
6.48031689424741e-06,1,1,0.475,3,1,2.88888888888889
4.84691195085714e-06,1,1,0.5,3,1,2.88888888888889
3.69167982548138e-06,1,1,0.525,3,1,2.88888888888889
2.86745444885126e-06,1,1,0.55,3,1,2.88888888888889
2.27434644898424e-06,1,1,0.575,3,1,2.88888888888889
1.84392226642209e-06,1,1,0.6,3,1,2.88888888888889
1.52888398861591e-06,1,1,0.625,3,1,2.88888888888889
1.29626910069917e-06,1,1,0.65,3,1,2.88888888888889
1.12292568365455e-06,1,1,0.675,3,1,2.88888888888889
9.92473243271732e-07,1,1,0.7,3,1,2.88888888888889
8.9324289611499e-07,1,1,0.725,3,1,2.88888888888889
8.1686921839136e-07,1,1,0.75,3,1,2.88888888888889
7.57319631066292e-07,1,1,0.775,3,1,2.88888888888889
